Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
176558,USB-C Charging Cable,2,11.95,11/22/2020,"917 1st St, Dallas, TX 75001"
176559,Bose SoundSport Headphones,1,99.99,11/23/2020,"682 Chestnut St, Boston, MA 02215"
176560,Google Phone,1,600,11/12/2020,"669 Spruce St, Los Angeles, CA 90001"
176560,Wired Headphones,1,11.99,11/14/2020,"669 Spruce St, Los Angeles, CA 90001"
176561,Wired Headphones,1,11.99,10/17/2020,"333 8th St, Los Angeles, CA 90001"
176562,USB-C Charging Cable,1,11.95,2/13/2020,"381 Wilson St, San Francisco, CA 94016"
176563,Bose SoundSport Headphones,1,99.99,5/4/2020,"668 Center St, Seattle, WA 98101"
176564,USB-C Charging Cable,1,11.95,9/19/2020,"790 Ridge St, Atlanta, GA 30301"
176565,Macbook Pro Laptop,1,1700,1/8/2020,"915 Willow St, San Francisco, CA 94016"
176566,Wired Headphones,1,11.99,11/2/2020,"83 7th St, Boston, MA 02215"
176567,Google Phone,1,600,5/28/2020,"444 7th St, Los Angeles, CA 90001"
176568,Lightning Charging Cable,1,14.95,8/6/2020,"438 Elm St, Seattle, WA 98101"
176569,27in 4K Gaming Monitor,1,389.99,11/27/2020,"657 Hill St, Dallas, TX 75001"
176570,AA Batteries (4-pack),1,3.84,4/4/2020,"186 12th St, Dallas, TX 75001"
176571,Lightning Charging Cable,1,14.95,5/11/2020,"253 Johnson St, Atlanta, GA 30301"
176572,Apple Airpods Headphones,1,150,10/10/2020,"149 Dogwood St, New York City, NY 10001"
176573,USB-C Charging Cable,1,11.95,1/10/2020,"214 Chestnut St, San Francisco, CA 94016"
176574,Google Phone,1,600,1/1/2020,"20 Hill St, Los Angeles, CA 90001"
176574,USB-C Charging Cable,1,11.95,11/21/2020,"20 Hill St, Los Angeles, CA 90001"
176575,AAA Batteries (4-pack),1,2.99,5/27/2020,"433 Hill St, New York City, NY 10001"
176576,Apple Airpods Headphones,1,150,1/14/2020,"771 Ridge St, Los Angeles, CA 90001"
176577,Apple Airpods Headphones,1,150,5/11/2020,"260 Spruce St, Dallas, TX 75001"
176578,Apple Airpods Headphones,1,150,3/24/2020,"513 Church St, Boston, MA 02215"
176579,AA Batteries (4-pack),1,3.84,1/6/2020,"886 Jefferson St, New York City, NY 10001"
176580,USB-C Charging Cable,1,11.95,2/27/2020,"886 Willow St, Los Angeles, CA 90001"
176581,iPhone,1,700,9/28/2020,"84 Jackson St, Boston, MA 02215"
176582,Bose SoundSport Headphones,1,99.99,10/28/2020,"178 Lincoln St, Atlanta, GA 30301"
176583,AAA Batteries (4-pack),2,2.99,10/14/2020,"146 Jackson St, Portland, OR 97035"
176584,Flatscreen TV,1,300,10/1/2020,"936 Church St, San Francisco, CA 94016"
176585,Bose SoundSport Headphones,1,99.99,2/20/2020,"823 Highland St, Boston, MA 02215"
176585,Bose SoundSport Headphones,1,99.99,3/20/2020,"823 Highland St, Boston, MA 02215"
176586,AAA Batteries (4-pack),2,2.99,6/5/2020,"365 Center St, San Francisco, CA 94016"
176586,Google Phone,1,600,10/27/2020,"365 Center St, San Francisco, CA 94016"
176587,27in FHD Monitor,1,149.99,9/1/2020,"557 5th St, Los Angeles, CA 90001"
176588,20in Monitor,1,109.99,2/29/2020,"765 Cherry St, Seattle, WA 98101"
176589,Lightning Charging Cable,1,14.95,9/5/2020,"846 Highland St, Atlanta, GA 30301"
176590,Google Phone,1,600,7/20/2020,"873 6th St, New York City, NY 10001"
176591,Apple Airpods Headphones,1,150,10/27/2020,"600 Maple St, Austin, TX 73301"
176592,USB-C Charging Cable,1,11.95,11/16/2020,"352 4th St, Los Angeles, CA 90001"
176593,Lightning Charging Cable,2,14.95,2/23/2020,"906 7th St, Portland, OR 97035"
176594,Wired Headphones,1,11.99,10/20/2020,"63 Maple St, San Francisco, CA 94016"
176595,Wired Headphones,3,11.99,10/5/2020,"383 6th St, Los Angeles, CA 90001"
176596,Apple Airpods Headphones,1,150,11/24/2020,"572 Meadow St, Dallas, TX 75001"
176597,USB-C Charging Cable,1,11.95,6/10/2020,"681 11th St, San Francisco, CA 94016"
176598,AAA Batteries (4-pack),2,2.99,1/30/2020,"294 Park St, San Francisco, CA 94016"
176599,Lightning Charging Cable,1,14.95,9/7/2020,"279 Maple St, New York City, NY 10001"
176600,27in 4K Gaming Monitor,1,389.99,11/23/2020,"87 West St, Boston, MA 02215"
176601,USB-C Charging Cable,1,11.95,3/17/2020,"754 10th St, Los Angeles, CA 90001"
176602,Lightning Charging Cable,1,14.95,1/15/2020,"9 Jefferson St, Dallas, TX 75001"
176603,USB-C Charging Cable,1,11.95,4/24/2020,"858 6th St, San Francisco, CA 94016"
176604,USB-C Charging Cable,1,11.95,11/26/2020,"462 11th St, San Francisco, CA 94016"
176605,USB-C Charging Cable,1,11.95,8/1/2020,"717 Pine St, San Francisco, CA 94016"
176606,LG Dryer,1,600,9/19/2020,"487 Maple St, San Francisco, CA 94016"
176607,AAA Batteries (4-pack),2,2.99,3/14/2020,"689 10th St, Boston, MA 02215"
176608,iPhone,1,700,2/20/2020,"15 Cherry St, San Francisco, CA 94016"
176609,Apple Airpods Headphones,1,150,11/26/2020,"267 11th St, Austin, TX 73301"
